AccessionID,AccessionName,HasSeed,User,PopulationName,NumberOfMaternalLines,DateCollected,LocalityName,Latitude,Longitude,Altitude,Datum,Ploidy,StorageLocation,Source,ExternalID,Background,Generation,CountryOfOrigin,Notes,FirstParentID,SecondParentID,FirstParentSex,SecondParentSex
136,BdTR10d,,,,,,Turkey (various),40.39,32.99,1596,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
137,BdTR10e,,,,,,Turkey (various),37.12,39.03,448,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
138,BdTR10f,,,,,,Turkey (various),37.76,39.58,1156,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
139,BdTR10g,,,,,,Turkey (various),37.44,40.13,710,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
140,BdTR10h,,,,,,Turkey (various),38.10,40.66,688,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
141,BdTR10i,,,,,,Turkey (various),37.46,41.24,975,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
142,BdTR10j,,,,,,Turkey (various),37.80,41.77,612,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
143,BdTR10k,,,,,,Turkey (various),38.10,42.32,1713,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
144,BdTR10m,,,,,,Turkey (various),41.42,27.48,124,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
145,BdTR10n,,,,,,Turkey (various),41.09,26.93,141,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
146,BdTR10o,,,,,,Turkey (various),39.74,28.04,363,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
147,BdTR11a,,,,,,Turkey (various),38.42,28.03,986,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
148,BdTR11b,,,,,,Turkey (various),41.42,27.48,124,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
149,BdTR11c,,,,,,Turkey (various),41.09,26.93,141,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
150,BdTR11d,,,,,,Turkey (various),37.46,41.24,975,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
151,BdTR11e,,,,,,Turkey (various),37.80,41.77,612,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
152,BdTR11f,,,,,,Turkey (various),38.10,42.32,1713,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
153,BdTR11g,,,,,,Turkey (various),41.42,27.48,124,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
154,BdTR11h,,,,,,Turkey (various),41.09,26.93,141,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
155,BdTR11i,,,,,,Turkey (various),39.74,28.04,363,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
156,BdTR12a,,,,,,Turkey (various),36.78,32.96,1957,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
157,BdTR12b,,,,,,Turkey (various),40.41,34.64,1088,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
158,BdTR12c,,,,,,Turkey (various),39.75,34.65,1035,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
159,BdTR13a,,,,,,Turkey (various),39.76,32.43,787,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
160,BdTR13b,,,,,,Turkey (various),39.75,33.54,872,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
161,BdTR13c,,,,,,Turkey (various),39.41,32.99,1192,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
162,BdTR13d,,,,,,Turkey (various),37.77,33.52,1013,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
163,BdTR13e,,,,,,Turkey (various),37.11,34.07,2385,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
164,BdTR13f,,,,,,Turkey (various),39.09,35.19,1249,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
165,BdTR13g,,,,,,Turkey (various),38.40,35.16,1086,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
166,BdTR13h,,,,,,Turkey (various),37.46,41.24,975,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
167,BdTR13i,,,,,,Turkey (various),37.80,41.77,612,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
168,BdTR13j,,,,,,Turkey (various),38.10,42.32,1713,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
169,BdTR13k,,,,,,Turkey (various),38.10,42.32,1713,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
170,BdTR13m,,,,,,Turkey (various),37.47,43.45,1957,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
171,BdTR13n,,,,,,Turkey (various),36.77,44.54,886,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
172,BdTR13o,,,,,,Turkey (various),38.10,42.32,1713,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
173,BD1-1,,,,,,Soma Manisa,39.19,27.61,,,,,Iain Wilson (CSIRO PI),,,,,inbred line from single seed descent PI 170218 winter habit ,,,,
174,BD2-3,,,,,,,33.76,44.40,,,,,Iain Wilson (CSIRO PI),,,,,inbred line from single seed descent PI 185133  spring habit ,,,,
175,BD3-1,,,,,,,33.76,44.40,,,,,Iain Wilson (CSIRO PI),,,,,inbred line from single seed descent PI 185134  spring habit ,,,,
176,BD18-1,,,,,,Kaman Kirschir province,39.37,33.72,278.8,,,,Iain Wilson (CSIRO PI),,,,,inbred line from single seed descent PI 245730  winter habit ,,,,
177,BD21,,,,,,near Salakudin (Salah ad Din?),33.76,44.40,,,,,Iain Wilson (CSIRO PI),,,,,inbred line from single seed descent PI 254867  spring habit ,,,,
